TOA5,Daylight Savings,CPU:Station3  rain garden 09-11-19.CR1,,,,,,
TIMESTAMP,ADJUSTMENT,Q_103_litsec_Avg,,Sample_Count(3),Total Volume (L),,,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/min,Smp,,sample point,sample number,
3/12/20 0:35,3/12/20 1:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 0:40,3/12/20 1:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 0:45,3/12/20 1:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 0:50,3/12/20 1:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 0:55,3/12/20 1:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:00,3/12/20 2:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:05,3/12/20 2:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:10,3/12/20 2:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:15,3/12/20 2:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:20,3/12/20 2:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:25,3/12/20 2:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:30,3/12/20 2:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:35,3/12/20 2:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:40,3/12/20 2:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:45,3/12/20 2:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:50,3/12/20 2:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 1:55,3/12/20 2:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:00,3/12/20 3:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:05,3/12/20 3:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:10,3/12/20 3:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:15,3/12/20 3:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:20,3/12/20 3:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:25,3/12/20 3:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:30,3/12/20 3:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:35,3/12/20 3:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:40,3/12/20 3:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:45,3/12/20 3:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:50,3/12/20 3:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 2:55,3/12/20 3:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:00,3/12/20 4:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:05,3/12/20 4:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:10,3/12/20 4:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:15,3/12/20 4:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:20,3/12/20 4:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:25,3/12/20 4:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:30,3/12/20 4:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:35,3/12/20 4:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:40,3/12/20 4:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:45,3/12/20 4:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:50,3/12/20 4:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 3:55,3/12/20 4:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:00,3/12/20 5:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:05,3/12/20 5:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:10,3/12/20 5:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:15,3/12/20 5:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:20,3/12/20 5:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:25,3/12/20 5:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:30,3/12/20 5:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:35,3/12/20 5:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:40,3/12/20 5:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:45,3/12/20 5:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:50,3/12/20 5:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 4:55,3/12/20 5:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:00,3/12/20 6:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:05,3/12/20 6:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:10,3/12/20 6:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:15,3/12/20 6:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:20,3/12/20 6:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:25,3/12/20 6:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:30,3/12/20 6:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:35,3/12/20 6:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:40,3/12/20 6:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:45,3/12/20 6:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:50,3/12/20 6:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 5:55,3/12/20 6:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:00,3/12/20 7:00,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:05,3/12/20 7:05,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:10,3/12/20 7:10,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:15,3/12/20 7:15,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:20,3/12/20 7:20,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:25,3/12/20 7:25,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:30,3/12/20 7:30,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:35,3/12/20 7:35,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:40,3/12/20 7:40,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:45,3/12/20 7:45,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:50,3/12/20 7:50,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 6:55,3/12/20 7:55,0,0,38,126.00,#N/A,#N/A,#N/A
3/12/20 7:00,3/12/20 8:00,0,0,38,126.00,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
